PH level (0-14),Hardness (mg/L),Dissolved Oxygen (mg/L),Biological Oxygen Demand (mg/L),Heavy Metals (mg/L),Nitrates (mg/L),Phosphates (mg/L),Turbidity (NTU),Conductivity (µ/cm),Water Type Probability
7.34,254.45,13.02,6.46,0.0126,44.74,3.74,4.94,488.37,Organic
8.24,289.65,11.23,25.66,0.2071,7.73,3.27,55.93,1360.18,Inorganic
5.85,389.81,4.2,1.84,0.2947,17.17,3.81,68.44,1847.81,Inorganic
5.65,57.79,12.18,17.2,0.3808,6.04,0.07,77.53,1937.81,Inorganic
6.29,260.55,7.56,18,0.0711,32.42,1.79,11.47,125.55,Inorganic
7.71,372.85,4.17,11.56,0.2724,10.16,4.06,53.24,290.27,Inorganic
7.68,111.96,9.59,8.84,0.0785,24.31,2.35,64.52,344.42,Organic
6.72,111.41,5.38,24.84,0.1207,36.45,4.78,13.63,1676.91,Inorganic
6.74,323.96,5.92,27.2,0.4667,48.94,0.3,37.56,1677.19,Inorganic
8.62,364.68,7.3,17.71,0.2327,26.02,2.79,48.64,442.31,Inorganic
6.72,498.18,3.91,28.86,0.2351,1.89,4.26,20.55,1397.7,Inorganic
8.85,141.74,11.99,22.78,0.4698,9.74,3.01,20.85,246.05,Inorganic
7.64,425.86,12.1,27.98,0.1501,37.47,1.7,73.84,528.4,Inorganic
8.45,241.37,8.51,18.83,0.3697,46.54,0.64,34.21,1903.34,Organic
6.12,191.94,13.96,16.16,0.444,11.91,3.6,83.01,805.79,Inorganic
8.88,127,2.19,7.88,0.3833,23.03,3.07,9.95,1657.86,Inorganic
5.61,304.47,13.02,9.42,0.0959,36.31,2.75,36.69,344.45,Organic
7.76,378.66,6.75,15.9,0.2764,18.25,2.46,35.27,334.64,Inorganic
7.41,114.99,8.33,10.11,0.2871,12.83,2.22,2.37,824.95,Inorganic
8.24,343.41,12.35,23.56,0.0203,35.29,3.53,92.72,1550.78,Inorganic
6.93,391.5,7.28,12.33,0.0556,14.03,2.49,64.89,1700.74,Inorganic
8.31,302.43,6.76,10.78,0.2005,40.52,0.97,38.6,65.75,Organic
7.73,347.64,7.28,21.12,0.0021,0.17,0.98,33.89,1771.65,Inorganic
8.43,411.23,12.15,5.62,0.4926,31.82,3.68,39.04,231.88,Organic
8.69,327.18,12.74,5.99,0.2142,30.7,2.16,27.39,1057.45,Organic
8.85,420.62,12.96,17.25,0.1048,9.99,3.32,19.39,599.34,Inorganic
7.56,416.04,3.1,23.92,0.4508,21.96,3.34,70.94,618.28,Inorganic
6.15,380.18,12.84,9.54,0.1216,3.49,1.06,21.54,516.78,Inorganic
6.46,391.91,12.76,3.57,0.1146,14.35,1.53,71.76,1550.86,Organic
8.52,310.72,8.4,27.93,0.1368,42.08,0.1,21.63,1345.91,Inorganic
6.34,226.28,3.97,13.03,0.1365,14.16,1.6,35.66,1333.06,Inorganic
8.91,334,8.36,20.36,0.4186,43.56,4.02,29.34,898.09,Inorganic
7.9,404.76,9.62,8.45,0.1963,22.02,3.44,37.67,612.09,Organic
5.89,436.98,7.88,18.01,0.022,10.7,2.78,14.09,1174.4,Inorganic
7.48,303.35,13.58,22,0.1374,16.65,1.66,58.32,554.03,Inorganic
7.71,71.93,10.09,17.14,0.0836,16.63,3.54,56.87,54.38,Inorganic
6.25,248.51,13.84,22.19,0.0532,35.14,3.36,56.12,453.48,Inorganic
7.95,296.76,3.42,26.77,0.4243,9.41,0.08,5.12,1502.91,Inorganic
8.89,131.47,9.31,14.83,0.0672,18.12,3.55,21.99,1889.89,Inorganic
8.36,171.28,7.16,21.68,0.3602,14.7,0.66,25.4,1012.83,Inorganic
7.79,203.81,3.95,4.57,0.0352,42.03,3.69,88.26,1672.05,Organic
7.81,210.93,4.06,9.42,0.1759,39.19,1.32,62.79,719.38,Organic
7.95,409.97,3.17,14.79,0.3241,4.91,0.71,4.3,1705.82,Inorganic
8.59,470.91,9.71,19.85,0.464,21.5,3.57,15.29,1653.5,Inorganic
8.05,154.54,10.88,3.36,0.3829,31.62,1.5,90.51,397.45,Organic
8.19,331.29,10.89,23.35,0.11,45.67,1.32,11.53,820.81,Organic
7.55,359.7,9.85,3.64,0.2232,30.65,2.72,49.1,750.38,Organic
6.91,154.81,11.85,26.69,0.3947,10.34,1.29,86.09,310.43,Inorganic
8.88,187.25,11.63,11.99,0.3089,15.88,1.11,49.78,1984.85,Inorganic
8.93,299.37,4.21,4.5,0.4958,20.21,1.54,65.48,1440.81,Inorganic
5.6,229.46,3.74,3.03,0.3486,39.08,1.77,25.92,683.45,Organic
8.75,365.25,2.79,3.78,0.2718,9.98,1.72,11.99,609.36,Inorganic
7.64,80.53,13.96,28.67,0.0811,38.93,4.45,10.01,1369.54,Organic
8.16,348.52,9.4,4.06,0.2634,7.14,1.09,38.36,1673.95,Inorganic
8.87,80.52,12.02,7.65,0.3982,19.16,2.79,36,147.02,Organic
6.65,245.76,6.47,5.99,0.4442,33.9,0.47,58.03,1633,Organic
5.63,271.44,8.4,13.04,0.4461,48.97,0.24,13.31,1705.8,Organic
6.2,128.16,13.08,4.7,0.1776,8.74,1.51,59.83,1871.4,Organic
8.06,135.74,4.15,19.12,0.4283,6.95,0.43,90.6,1199.32,Inorganic
8.5,306.81,6.19,18.55,0.3866,31.12,2.79,1.72,1887.07,Inorganic
7.21,309.21,10.9,8.17,0.153,49.69,0.53,38.43,404.48,Organic
6.16,148.97,8.6,3.38,0.2335,40.14,2.84,15.22,1343.11,Organic
6.91,148.61,2.85,6.62,0.0136,40.28,1.26,77.37,122.28,Organic
8.4,364.66,11.28,17.52,0.3118,7.25,1.83,4.88,233.73,Inorganic
7.66,454.45,11.5,20.59,0.3665,49.93,1.74,70.23,957.88,Organic
5.79,341.26,6.3,11.22,0.2768,2.28,4.6,84.59,497.76,Inorganic
8.29,241.3,7.74,26.65,0.0562,45.44,4.09,44.66,908.32,Inorganic
8.28,294.76,12.09,8.08,0.0178,32.34,2.56,16.91,940.9,Organic
6.82,464.24,13.38,28.37,0.2221,25.6,4.22,18.68,1906.92,Inorganic
8.95,348.46,3.52,21.85,0.1904,19.3,3.83,66.88,1805.15,Inorganic
7.86,69.39,3.67,11.5,0.2889,44.47,0.41,70.55,650.94,Inorganic
6.64,115.25,11.14,29.72,0.4939,4.42,1.05,40.77,1474.42,Inorganic
6.06,460.97,5.79,25.76,0.2074,47.66,0.25,48.75,710.52,Inorganic
8.39,496.79,4.16,15.24,0.195,13.63,0.07,29.95,145.68,Inorganic
5.97,305.98,8.87,21.02,0.4731,12.32,0.95,39.67,88.38,Inorganic
7.74,366.54,6.8,6.77,0.2539,24.87,4.75,60.94,1913.55,Organic
5.96,160.4,4.69,13.09,0.4289,25.7,2.46,88.77,787.64,Inorganic
6.83,249.88,8.8,21.45,0.2743,45.3,0.17,3.18,1467.95,Organic
7.39,343.77,13.89,2.25,0.3046,6.96,1.59,79.45,1764.59,Inorganic
8.49,496.72,12.4,21.91,0.0826,42.79,2.31,89.8,1164.08,Inorganic
6.57,487.19,12.61,12.47,0.2988,4.39,1.74,25.05,686.2,Inorganic
7.25,420.09,7.46,5.07,0.2027,2.44,2.31,65.82,1918.69,Inorganic
5.53,306.61,6.26,15.31,0.2645,34.28,1.87,54.71,1254.69,Inorganic
7.53,237.34,7.5,12.07,0.1382,2.53,3.18,20.03,659.43,Inorganic
7.6,290.48,4.81,15.36,0.1167,29.09,0.07,51,1728.53,Inorganic
7.87,351,7.21,4.16,0.057,49.76,0.32,77.52,1757.16,Organic
8.06,179.5,3.69,28.35,0.3735,18.44,1.85,99.09,1625.39,Inorganic
8.71,211.42,2.37,19.21,0.3412,7.06,0.79,18.71,1789.03,Inorganic
8.7,383.88,2.46,6.14,0.4743,46.68,2.51,25.95,770.19,Organic
8.65,251.03,3.62,12.6,0.074,32.75,1.5,78.39,1795.03,Inorganic
8.94,255.7,2.64,4.43,0.3161,21.92,2.64,39.14,78.82,Inorganic
6.19,159.89,13.04,3.14,0.1788,32.72,1.3,79.8,742.07,Organic
8.51,55.64,5.67,19.49,0.2969,21.02,3.92,95.6,635.46,Inorganic
8.12,361.21,6.45,22.76,0.322,33.71,3.25,9.05,790.69,Inorganic
7.54,149.72,10.82,28.32,0.4232,35.34,4.14,70.98,59.93,Inorganic
7.65,120.78,7.13,6.27,0.2364,46.5,1.18,94.63,734.23,Organic
8.33,489.44,12.16,9.39,0.2968,43.17,3.81,11.25,1092.33,Organic
6.53,310.66,5.77,15.4,0.3563,24.36,2.32,79.76,589.01,Inorganic
5.93,455.78,2.39,18.25,0.32,0.28,3.43,34.28,1653.98,Inorganic
8.52,194.01,10.89,3.38,0.4414,30.73,3.17,11.64,1499.84,Organic
6.61,328.27,12.45,17.96,0.3217,9.36,0.18,88.7,1708.26,Inorganic
8.37,492.76,5.02,28.49,0.0363,18.42,0.28,24.25,1531.3,Inorganic
7.59,486.54,12.24,20.75,0.4818,26.92,0.76,20.54,720.93,Inorganic
7.49,198.05,5.51,2.77,0.2417,23.55,1.39,24.03,291.48,Organic
8.51,170.45,3.91,29.67,0.4447,41.03,1.98,10,1902.42,Inorganic
6.88,65.11,11.02,20.95,0.1889,0.8,2.15,11.21,1740.33,Inorganic
6.26,62.86,12.32,19.39,0.3699,40.36,0.98,2.83,624.6,Organic
7.15,472.21,12.26,29.51,0.3305,30.7,2.06,63.99,1024.23,Inorganic
6.17,54.22,6.85,5.08,0.4107,41.11,3.57,58.22,1498.81,Organic
8.35,65.8,8.35,20.51,0.3985,47.15,3.63,95.41,1670.72,Inorganic
6.72,62.43,7.55,26.37,0.3679,24.19,1.9,52.16,995.64,Inorganic
5.94,70.24,11.29,6.01,0.0797,47.61,1.29,46.72,1009.56,Organic
6.64,475.92,11.44,7.19,0.0135,27.9,2.92,49.36,193.12,Organic
6.04,341.45,3.43,29.75,0.365,29.26,2.13,57.45,576.76,Inorganic
7.64,376.67,3.74,9.59,0.2777,40.12,1.27,40.98,1358.49,Organic
7.32,378.02,9.54,9.25,0.4491,11.25,2.32,86.74,52.94,Inorganic
6.55,107.46,6.71,12.78,0.0667,46.71,3.99,35.05,1928.78,Organic
8.47,455.02,13.3,2.49,0.2919,16.06,4.37,26.62,850.28,Organic
6.23,362.68,3.07,26.93,0.0441,22.31,2.82,49.65,1082.99,Inorganic
8.61,126.03,11.42,27.61,0.3664,38.14,2.49,40.53,1939.48,Inorganic
6.22,476.47,13.65,19.03,0.3338,44.66,2.68,0.36,1024.49,Organic
6.7,110.95,12.05,15.74,0.2885,49.36,3.62,25.99,74.16,Organic
7.75,96.4,5.02,15.64,0.0644,39.29,4.46,22.86,507.37,Organic
6.43,290.08,12.96,22.85,0.0144,1.49,3.15,3.11,752.92,Inorganic
6.5,322.64,6.08,20.25,0.4103,10.96,1.54,44.03,1348.13,Inorganic
8.46,469.92,5.81,22.69,0.457,38.06,1.18,94.92,275.63,Inorganic
7.31,62.15,11.18,23.99,0.343,27.84,0.9,9.51,994.65,Inorganic
8.32,292.88,13.5,4.74,0.4262,10.62,1.19,79.5,1876.49,Inorganic
6.79,72.88,8.69,22.56,0.0951,48.06,1.26,49.46,1434.9,Inorganic
5.78,460.14,5.65,17.82,0.3948,13.95,0.63,88.35,783.47,Inorganic
8.26,429.18,2.26,18.95,0.1246,12.41,1.45,32.69,1562.97,Inorganic
8.37,64.92,7.89,25.54,0.3209,11.23,3,67.11,1970.23,Inorganic
6.78,336.03,12.81,9.3,0.3336,49.88,3.68,80.54,1667.61,Organic
8.09,277.7,3.15,6.87,0.4154,45.56,4.72,37.14,858.54,Organic
7.04,153.68,8.85,26.08,0.171,49.73,1.99,82.12,198.93,Inorganic
7.46,313.89,12.56,19.49,0.0491,22.17,3.73,72.34,91.89,Inorganic
5.75,469.56,10.07,14.63,0.197,5.3,4.6,65.39,906.48,Inorganic
8.53,324.08,13.08,23.82,0.2087,16.33,0.46,35.88,1003.09,Inorganic
8.77,345.69,11.58,28.96,0.2044,0.67,4.67,39.29,1162.83,Inorganic
8.25,295.19,13.02,22.78,0.0629,5.32,2.22,93.31,124.81,Inorganic
6.15,123.79,8.69,23.07,0.4905,23.32,4.68,41.8,560.75,Inorganic
5.67,342.68,4.83,15.67,0.2352,6.79,2.43,3.61,458.95,Inorganic
6.76,197.93,8.3,28.56,0.2466,39.93,3.27,79,617.94,Inorganic
7.94,170.57,10.73,28.92,0.2552,15.37,2.42,73.2,1080.44,Inorganic
5.75,366.75,13.52,19.13,0.3265,41.41,4.35,59.25,1293.26,Organic
7,474.4,9.26,4.87,0.1087,40.68,3.15,1.33,585.14,Organic
8.12,422.61,9.54,28.94,0.0685,11.78,3.7,19.62,1863.34,Inorganic
7.36,194.41,6.11,10.28,0.2415,31.35,3.69,71.99,789.24,Inorganic
7.01,56.26,11.66,3.48,0.2583,21.65,1.51,81.45,1576.71,Organic
6,356.37,10.05,10.68,0.3704,2.46,1.19,12.63,1332.27,Inorganic
8.72,126.63,12.93,3.72,0.124,19.72,2.24,89.16,1910.56,Organic
5.86,307.49,11.99,13.88,0.0025,8.11,0.55,44.96,1598.9,Inorganic
6.93,126.49,12.53,11.22,0.2745,3.23,4.57,62.4,1796.57,Inorganic
6.25,113.98,5.43,3.13,0.1622,27,4.05,78.79,391.96,Organic
6.14,256.13,8.21,15.49,0.0122,31.42,2.99,50.99,1766.66,Inorganic
5.55,297.77,8.54,16.23,0.4585,37.53,3.63,77.52,1428.86,Inorganic
7.36,123.87,2.17,10.67,0.2756,8.48,4.7,40.27,840.27,Inorganic
7.2,115.08,8.18,16.8,0.4529,17.8,3.37,59.63,400.37,Inorganic
8.99,484.48,12.16,14.32,0.1975,15.62,1.07,70.53,1795.35,Inorganic
8.19,228.92,4.82,8.06,0.4368,49.61,1.08,31.59,1428.6,Organic
5.52,157.19,6.39,1.98,0.084,14.18,2.49,90.89,507.2,Inorganic
7.96,481.51,2.85,24.78,0.0098,49.52,0.53,6.39,278.48,Inorganic
7.39,406.58,13.47,28.14,0.4817,3.68,2.18,59.74,180.81,Inorganic
7.95,334.95,8.14,8.5,0.2149,10.86,0.74,77.2,129.66,Inorganic
7.22,364.86,8.25,20.15,0.2296,17.43,0.1,21.46,1982.75,Inorganic
6.16,479.87,6.37,6.36,0.3359,36.52,0.68,5.55,913.73,Organic
8.28,497.07,9.88,6.46,0.3229,31.86,3.31,66.49,836.72,Organic
8.65,315.88,12.54,26.21,0.3168,32.63,4.35,72.67,1766.71,Inorganic
8.15,349.05,7.52,5.38,0.3645,44.74,0.74,92.27,1677.99,Organic
6.92,267.73,5.93,18.83,0.1999,41.21,1.73,62.64,954.85,Inorganic
8.75,318.4,12.43,18.55,0.4025,42.42,2.84,50.17,227.68,Organic
7.17,215.34,13.59,6.55,0.0606,28.65,1.78,16.02,1231.07,Organic
7.17,304.54,6.16,6.86,0.0266,46.66,1.46,4.31,1825.85,Organic
7.49,77.1,8.01,17.79,0.0571,16.3,4.82,90.35,628.53,Inorganic
5.92,192.44,3.66,17.17,0.4385,35.75,2.72,4.96,1148.72,Inorganic
6.53,85.11,3.85,6.65,0.116,29.05,4.44,79.44,1778.08,Inorganic
8.17,457.81,5.55,8.32,0.1858,29.76,3.01,19.77,1062.18,Organic
5.97,459.02,6.25,21.09,0.3246,39.14,1.23,5.69,344.28,Inorganic
6.89,261.62,12.05,27.84,0.0138,46.43,3.45,48.93,577.3,Inorganic
7.63,160.19,4.52,19.5,0.2068,39.96,1.58,50.78,1771.28,Inorganic
5.51,192.25,8.55,2.44,0.2953,25.5,0.87,52.46,1782.09,Organic
5.84,370.29,6.62,7.58,0.4575,26.38,3.51,30.14,453.58,Organic
6.07,220.41,4.14,4.99,0.1516,21.52,3.51,84.68,348.07,Inorganic
7.05,71.97,2.43,18.65,0.0083,5.49,1.58,15.42,697.17,Inorganic
7.58,255.97,10.24,10.99,0.3233,32.1,2.31,56.28,679.12,Organic
8.67,91.56,3.08,7.13,0.4745,22.39,1.78,85.02,103.58,Inorganic
7.23,146.59,5.03,2.62,0.0539,24.68,2.14,31.99,538.52,Organic
8.79,198.53,6.71,17.35,0.3323,16.25,4.87,44.64,1251.64,Inorganic
5.9,434.83,6.95,10.65,0.0594,25.05,4.44,92.92,722.07,Inorganic
7.74,437.56,8.25,19.66,0.115,19.89,4.88,2.08,1155.65,Inorganic
5.9,235.09,13.01,22.5,0.4872,17.77,2.77,20.02,154.95,Inorganic
8.38,382.15,5.02,16.65,0.1604,36.03,0.09,93.84,1835.76,Inorganic
7.79,72.92,10.59,14.53,0.285,1.84,2.21,88.36,566.66,Inorganic
8.32,439.33,9.96,19.45,0.4574,21.32,2.07,62.93,502.49,Inorganic
8.22,466.72,9.55,28.71,0.1853,11.15,0.4,28.69,1282.38,Inorganic
5.86,278.83,8.4,25.94,0.3511,32.56,2.4,42.44,1972.68,Inorganic
5.53,435.3,12.01,7.22,0.2864,39.66,1.99,96.72,660.2,Organic
8.89,335.43,10.41,24.08,0.2318,8.25,4.76,17.2,1844.66,Inorganic
6.67,462.04,3.35,15.75,0.2526,31.35,2.03,61.93,562.84,Inorganic
8.14,459.51,11.4,25.3,0.0204,30.26,1.8,56.72,1192.6,Inorganic
7.29,165.41,2.4,6.61,0.3051,21.3,0.44,8.58,352.5,Inorganic
7.98,434.83,7.49,28.01,0.4041,18.11,3.68,5.15,705.05,Inorganic
7.2,465.46,13.3,22.28,0.0905,13.55,0.73,83.82,694.97,Inorganic
7.84,268.29,8.57,2.66,0.1668,1.17,3.24,25.39,774.14,Inorganic
9,265.22,7.16,24.06,0.3731,1.17,3.6,7.76,620.13,Inorganic
6.99,392.54,3.61,27.36,0.3768,15.56,2.16,32.71,1071.74,Inorganic
6.29,413.29,9.05,5.08,0.2338,4.58,2.51,34.36,1829.39,Inorganic
8.54,223.27,12.93,27.81,0.3431,23.38,0.17,31.11,319.24,Inorganic
7.39,325.25,13.16,12.24,0.2221,35.8,4.75,79.45,896.52,Organic
7.16,438.71,2.48,23.46,0.1078,2.45,2.98,65.53,1277.08,Inorganic
7.14,69.39,7.17,21,0.2672,38.16,3.01,2.25,308.99,Inorganic
6.71,87.2,11.5,21.85,0.1779,9.87,3.49,56.17,476.59,Inorganic
5.57,367.48,7.82,2.3,0.2316,35,0.64,77.25,1503.48,Organic
7.58,145.93,6.91,10.99,0.1357,47.51,4.31,37.82,1375,Organic
6.2,343.86,8.71,8.25,0.3752,43.82,2.72,72.85,1782.22,Organic
7.48,420.26,12.75,2.63,0.045,15.59,4.79,62.84,291.84,Organic
8.77,328.67,8.8,15.48,0.1243,13.73,4.83,37.31,483.91,Inorganic
7.98,78.43,4.74,4.59,0.2484,14.62,2.83,44.49,1185.56,Inorganic
8.7,148.13,14,1.3,0.2871,34.39,1.03,6.93,344.27,Organic
5.8,315.47,4.89,27.29,0.3531,34.37,0.93,33.29,1940.97,Inorganic
7.7,308.52,11.07,6.12,0.1772,28.03,3,97.03,763.57,Organic
8.08,330.67,6.99,18.09,0.3796,11.95,2.12,36.52,1516.32,Inorganic
8.58,385.47,10.14,26.52,0.0294,45.09,4.81,14.56,212.28,Organic
6.01,438.37,13.45,23.47,0.0897,38.19,0.77,27.22,597.2,Organic
7.27,428.44,3.61,12.43,0.2517,5.62,1.28,51.93,1717.4,Inorganic
6.52,471.01,10.57,13.08,0.2498,25.45,3.89,95.59,833.37,Inorganic
5.9,243.17,12.71,21.37,0.3147,17.72,1.32,79.34,304.99,Inorganic
8.62,202.4,10.06,3.88,0.3058,26.88,4.85,57.45,1474.5,Organic
8.76,100.4,5.84,20.34,0.0408,1.76,0.24,28.28,620.81,Inorganic
6.43,451.07,13.61,10.41,0.1366,29.06,0.19,0.72,1413.56,Organic
5.78,366.31,7.61,25.99,0.1232,33.94,4.4,46.65,1224.34,Inorganic
7.51,104.11,2.61,21.24,0.2001,28.07,2.27,20.68,1613.35,Inorganic
6.55,270.52,12.22,20.09,0.1867,35.81,2.31,71.29,1766.03,Inorganic
5.92,394.62,4.96,28.96,0.2393,14.19,2.21,32.59,1852.5,Inorganic
8.32,95.8,7.73,27.82,0.0369,29.78,0.91,17.8,1152.44,Inorganic
7.41,379.21,7.09,2.41,0.0015,27,2.89,26.56,1536.96,Organic
5.57,144.79,9.34,17.2,0.3642,22.56,4.35,42.08,1458.58,Inorganic
6.45,210.2,2.8,26.66,0.2475,45.01,2.77,91.35,1915.42,Inorganic
7.18,137.82,2.94,10.81,0.2755,27.07,0.26,4.39,447.17,Inorganic
7.06,284.59,4.93,25.61,0.109,3.04,2.05,52.54,634.64,Inorganic
8.41,126.03,5.52,1.85,0.1654,30.7,0.57,24.1,426.45,Organic
8.82,289.34,5.07,28.45,0.1023,43.48,1.95,58,332.52,Inorganic
5.58,118.99,12.03,18.67,0.4639,27.4,2.22,81.3,1352.67,Inorganic
8.44,268.22,7.26,17.81,0.1134,9.51,4.57,6.01,821.95,Inorganic
8.83,422.54,2.62,5.16,0.4194,39.52,3.67,69.87,1887.93,Organic
6.98,292.65,12.06,24.88,0.1697,26.85,4.49,33.89,232.12,Inorganic
8.78,254.33,12.54,12.21,0.3658,23.82,0.97,49.18,423.99,Inorganic
6.01,261.2,11.07,28.83,0.3545,4.76,3.53,52.21,348.52,Inorganic
8.63,139.08,12.86,15.27,0.0878,6.63,3.54,15.46,116.76,Inorganic
7.08,402.76,12.05,7.3,0.4786,1.33,0.11,67.95,1697.63,Inorganic
8.14,356.08,10.42,3.61,0.236,34.8,0.25,45.16,1262.41,Organic
7.92,496.35,12.03,10.79,0.0805,19.7,3.55,74.86,1726.02,Inorganic
7.22,350.44,12.21,14.67,0.1812,20.29,3.73,50.97,1706.52,Inorganic
5.85,147.23,5.55,4.08,0.3275,39.96,1.74,7.65,1079.25,Organic
5.6,101.01,10.49,5.9,0.052,36.1,3.97,1.86,924.5,Organic
6.02,353.09,4.15,25.05,0.0942,22.98,2.1,89.24,1417.1,Inorganic
8.81,324.59,10.35,21.29,0.4139,42.07,4.94,98.36,1267.43,Inorganic
6.39,283.98,10.17,8.36,0.2259,28.58,4.67,26.5,1607.77,Organic
6.03,439.6,4.62,22.07,0.0215,48.94,4.63,78.18,655.98,Inorganic
8.82,222.68,8.96,23.2,0.3919,27.66,4.75,49.53,1163.49,Inorganic
7.04,372.31,7.53,18.02,0.323,36.89,0.17,28.43,1766.24,Inorganic
6.75,253.61,6.99,17.37,0.3359,13.42,2.59,6.86,440,Inorganic
6.74,423.65,9.87,12.14,0.4344,34.18,3.84,85.77,1465.92,Inorganic
6.7,493.88,9.52,13.44,0.0132,41.74,1.89,64.22,971.75,Organic
7.61,250.61,8.34,23.28,0.0438,37.4,1.09,7.04,86.89,Inorganic
6.46,301.19,4.02,22.88,0.1874,44.01,0.1,88.04,1584.19,Inorganic
7.08,462.54,8.87,20.34,0.0188,4.16,0.01,43.13,1139.03,Inorganic
6.28,289.04,8.01,11.32,0.1867,16.29,1.24,72.24,1259.17,Inorganic
5.53,312.49,12.62,24.89,0.2584,39.41,2.64,4.16,91.63,Organic
8.65,456.57,3.26,26.1,0.2435,46.26,3.62,65.61,366.5,Inorganic
7.73,293.25,7.33,19.79,0.0786,18.48,3.21,37.28,287.03,Inorganic
6.87,426.03,8.54,25.56,0.3483,20.35,2.98,99.2,1503.62,Inorganic
8.13,441.67,7.81,10.92,0.0053,17.09,3.37,79.68,387.52,Inorganic
7.41,362.64,4.3,3.93,0.2022,12.28,3.75,55.66,1722.19,Inorganic
6.74,382.92,2.8,29.43,0.2047,44.36,1.78,2.69,897.95,Inorganic
8.94,162.26,5.36,3.15,0.2413,49.87,4.22,35.02,788.62,Organic
7.53,307.48,11.83,26.45,0.4007,44.53,0.34,87.93,1444.32,Inorganic
5.87,201.07,13.15,15.57,0.0616,18.49,2.63,95.3,1251.68,Inorganic
8.01,235.59,12.78,18.37,0.3763,11.26,0.39,62.8,1003.26,Inorganic
6.86,129.13,11.28,3.04,0.0997,7.35,3.78,22.12,739.21,Organic
7.75,153.31,10.28,4.28,0.3914,7.31,0.15,60.07,1033.88,Inorganic
8.5,325.08,13.11,3.34,0.0553,11.32,2.03,24.91,652.41,Organic
6.02,295.9,11.72,26.98,0.2952,19.3,1.02,92.45,60.81,Inorganic
6.88,107.63,4.4,19.06,0.3513,9.91,2.03,72.78,1644.89,Inorganic
6.58,87.55,7.31,24.39,0.2407,21.75,1.36,15.72,1154.63,Inorganic
6.41,326.94,7.9,25.71,0.2934,29.73,1.88,7.84,1177.49,Inorganic
6.76,342.47,12.16,1.01,0.1825,9.22,4.99,70.48,1475.05,Organic
6.44,455.84,3.27,5.46,0.2807,17.85,3.42,73.3,1167.36,Inorganic
6.81,264.97,13.56,4.39,0.2973,42.34,0.97,90.02,1305.01,Organic
8.19,91.35,5.04,29.68,0.1106,39.31,2.72,14.7,906.64,Inorganic
6.8,264.97,3.04,17.69,0.0294,19.33,2.72,60.59,1262.99,Inorganic
8.28,305.99,11.43,12.38,0.2151,43.81,1.01,72.59,1025.05,Organic
6.36,117.84,12.14,6.97,0.2731,23.49,4.51,87.69,250.53,Organic
7.46,413.89,6.62,25.75,0.3725,30.56,0.67,40.49,156.2,Inorganic
5.82,392.4,2.95,24.84,0.4047,15.39,2.63,60.13,981.46,Inorganic
8.86,391.87,11.08,5.77,0.3453,27.17,1.23,14.64,1322.34,Organic
5.68,222.63,12.22,19.19,0.4418,17.99,0.69,34.55,635.49,Inorganic
5.71,477.31,9.58,11.07,0.4336,7.09,1.39,1.73,147.71,Inorganic
7.29,330.5,7.72,28.25,0.4223,8,1.57,90.07,1334.67,Inorganic
6.87,281.58,13.61,25.69,0.1526,46.2,4.05,14.39,1679.18,Organic
5.74,92.81,13.03,10.96,0.055,31.68,0.93,12.06,96.47,Organic
6.97,365.3,7.97,24.52,0.21,9.21,3.16,32.57,918.41,Inorganic
6.47,163.87,12.26,23.88,0.4032,41.52,0.91,64.95,1255.25,Inorganic
6.19,312.48,2.84,21.72,0.4141,46.1,4.18,18.08,408.74,Inorganic
6.33,115.75,9.68,25.71,0.1245,9.61,4.43,1.97,424.53,Inorganic
7.02,222.46,10.51,24.57,0.0444,44.03,0.06,29.03,1651.97,Inorganic
8.1,264.97,12.91,15.12,0.4296,16.17,2.37,79.57,1162.99,Inorganic
5.82,102.77,2.78,17.89,0.0171,32.91,0.12,76.55,1696.81,Inorganic
6.39,80.26,13.45,24.11,0.3085,40.12,2.06,51.5,1603,Inorganic
6.56,123.19,10.61,7.26,0.0484,25.24,0.3,64.65,979.57,Organic
7.34,76.43,12.32,14.85,0.1347,34.9,1.23,67.15,1380.34,Organic
6.82,169.8,11.7,1.82,0.2649,39.59,3.7,95.43,472.06,Organic
7.44,281.13,5.37,6.53,0.2409,13.92,5,55.27,1123.22,Inorganic
8.55,375.47,13.04,25.55,0.485,42.3,4.55,39.83,1693.12,Inorganic
8.77,118.64,12.27,17.72,0.2137,40.62,2.09,61.43,97.66,Organic
7.44,438.23,2.36,27.92,0.0276,34.17,3.07,16.31,1385.2,Inorganic
7.99,449.83,12.5,12.96,0.1991,25.62,2.65,71.14,632.57,Inorganic
8.03,117.32,2.87,23.56,0.4267,21.08,2.66,18.54,560.56,Inorganic
6.81,115.91,9.83,3.16,0.2783,12.63,0.84,81.89,1761.6,Inorganic
7.69,261.97,9.43,4.27,0.1132,45.77,0.01,62.16,1851.59,Organic
6.28,217.58,2.85,25.86,0.4728,2.79,0.29,65.12,403.27,Inorganic
8.12,362.76,4.96,6.23,0.0344,7.78,3.11,40.56,1312.04,Inorganic
7.15,185.08,3.14,23.88,0.0627,27.13,2.82,7.34,1783.91,Inorganic
7.01,192.63,7.3,11.61,0.312,11.06,4.8,83.53,1226.57,Inorganic
6.62,461.78,10.6,26.8,0.3284,21.73,2.93,94.66,1951.09,Inorganic
